coach_name,total_decisions,go_rate,dqs,odr,dqs_rank,odr_rank,seasons,archetype,go_rate_rank
Jack Del Rio,1414,0.1598302687411598,0.0093515833348347,0.6598302687411598,123,95,2003–2017,Aggressive + Inaccurate,46
Pat Shurmur,502,0.1593625498007968,0.0095197189700304,0.647410358565737,130,112,2011–2019,Aggressive + Inaccurate,47
Gregg Williams,407,0.1572481572481572,0.0082014865992306,0.7027027027027027,64,34,2001–2018,Aggressive + Accurate,48
Freddie Kitchens,110,0.1545454545454545,0.0069299130515803,0.6363636363636364,19,128,2019–2019,Aggressive + Accurate,49
Sean McVay,1116,0.1541218637992831,0.0069407548591727,0.7087813620071685,21,28,2017–2025,Aggressive + Accurate,50
Vic Fangio,358,0.1536312849162011,0.0085920095381702,0.6229050279329609,81,144,2019–2021,Aggressive + Accurate,51
Dave McGinnis,428,0.1518691588785046,0.0093199451512708,0.6144859813084113,122,150,2000–2003,Aggressive + Inaccurate,52
Vince Tobin,198,0.1515151515151515,0.0096110890857975,0.6363636363636364,135,128,1999–2000,Aggressive + Inaccurate,53
David Culley,132,0.1515151515151515,0.0086267569161741,0.6590909090909091,82,98,2021–2021,Aggressive + Accurate,53
Steve Mariucci,819,0.1514041514041514,0.0101553899526973,0.6227106227106227,152,145,1999–2005,Aggressive + Inaccurate,55
Mike McCarthy,2105,0.1496437054631829,0.0075050009768865,0.7078384798099763,33,30,2006–2024,Aggressive + Accurate,56
Todd Bowles,1046,0.1491395793499044,0.0075345778247454,0.6912045889101338,34,46,2011–2025,Aggressive + Accurate,57
Gus Bradley,512,0.1484375,0.0082163097933358,0.662109375,65,87,2013–2016,Aggressive + Accurate,58
Steve Spagnuolo,474,0.1476793248945147,0.0087472069796623,0.6455696202531646,91,114,2009–2017,Aggressive + Inaccurate,59
Jim Zorn,245,0.1469387755102041,0.0105675145136684,0.6040816326530613,158,157,2008–2009,Aggressive + Inaccurate,60
Steve Spurrier,245,0.1469387755102041,0.0079871566626304,0.6653061224489796,53,82,2002–2003,Aggressive + Accurate,60
Chan Gailey,475,0.1452631578947368,0.0085646932270471,0.6505263157894737,80,111,1999–2012,Aggressive + Accurate,62
