game_state_key,field_pos_bin,ydstogo_bin,score_diff_bin,time_bin,wpa_fg,wpa_go,wpa_punt,n_total,wrong_call_rate,pct_actual_go,pct_actual_punt,pct_actual_fg,optimal_decision
own_territory|medium_4_6|down_one_score|second_half,own_territory,medium_4_6,down_one_score,second_half,,,0.00736084342008416,268,0.007462686567164179,0.007462686567164179,0.9925373134328358,0.0,punt
own_territory|medium_4_6|down_one_score|two_min_drill,own_territory,medium_4_6,down_one_score,two_min_drill,,-0.021669239189256638,,34,0.0,1.0,0.0,0.0,go_for_it
own_territory|medium_4_6|tied|4th_quarter,own_territory,medium_4_6,tied,4th_quarter,,,0.05701384735022035,102,0.0,0.0,1.0,0.0,punt
own_territory|medium_4_6|tied|early_game,own_territory,medium_4_6,tied,early_game,,0.06503487261750707,0.01222498643537056,1328,0.9909638554216867,0.009036144578313253,0.9909638554216867,0.0,go_for_it
own_territory|medium_4_6|tied|late_4th,own_territory,medium_4_6,tied,late_4th,,,0.03756690793035722,55,0.0,0.0,1.0,0.0,punt
own_territory|medium_4_6|tied|second_half,own_territory,medium_4_6,tied,second_half,,,0.0240083764508826,131,0.0,0.0,1.0,0.0,punt
own_territory|medium_4_6|tied|two_min_drill,own_territory,medium_4_6,tied,two_min_drill,,,-0.11549988825572663,32,0.0,0.0,1.0,0.0,punt
own_territory|medium_4_6|up_big|4th_quarter,own_territory,medium_4_6,up_big,4th_quarter,,,-0.00796621843955318,221,0.0,0.0,1.0,0.0,punt
own_territory|medium_4_6|up_big|early_game,own_territory,medium_4_6,up_big,early_game,,,-0.0007836893705834926,214,0.004672897196261682,0.004672897196261682,0.9953271028037384,0.0,punt
own_territory|medium_4_6|up_big|late_4th,own_territory,medium_4_6,up_big,late_4th,,,-0.005040508515634447,166,0.006024096385542169,0.006024096385542169,0.9939759036144579,0.0,punt
own_territory|medium_4_6|up_big|second_half,own_territory,medium_4_6,up_big,second_half,,,-0.00395336258673324,317,0.0031545741324921135,0.0031545741324921135,0.9968454258675079,0.0,punt
own_territory|medium_4_6|up_big|two_min_drill,own_territory,medium_4_6,up_big,two_min_drill,,,-0.0017252344610003884,51,0.0,0.0,1.0,0.0,punt
own_territory|medium_4_6|up_close|4th_quarter,own_territory,medium_4_6,up_close,4th_quarter,,,-0.00451670810580254,82,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,punt
own_territory|medium_4_6|up_close|early_game,own_territory,medium_4_6,up_close,early_game,,,0.0012711987701513102,320,0.003125,0.003125,0.996875,0.0,punt
own_territory|medium_4_6|up_close|late_4th,own_territory,medium_4_6,up_close,late_4th,,,-0.016447231917401817,58,0.017241379310344827,0.017241379310344827,0.9827586206896551,0.0,punt
own_territory|medium_4_6|up_close|second_half,own_territory,medium_4_6,up_close,second_half,,,0.005432598808196213,175,0.0,0.0,1.0,0.0,punt
own_territory|medium_4_6|up_close|two_min_drill,own_territory,medium_4_6,up_close,two_min_drill,,,-0.07506939413195315,22,0.0,0.0,1.0,0.0,punt
own_territory|medium_4_6|up_one_score|4th_quarter,own_territory,medium_4_6,up_one_score,4th_quarter,,,0.006408170403278979,97,0.0,0.0,1.0,0.0,punt
own_territory|medium_4_6|up_one_score|early_game,own_territory,medium_4_6,up_one_score,early_game,,,-0.00312914743979292,325,0.006153846153846154,0.006153846153846154,0.9938461538461538,0.0,punt
own_territory|medium_4_6|up_one_score|late_4th,own_territory,medium_4_6,up_one_score,late_4th,,,-0.022211123772755394,92,0.0,0.0,1.0,0.0,punt
own_territory|medium_4_6|up_one_score|second_half,own_territory,medium_4_6,up_one_score,second_half,,,0.0024945544371238076,145,0.013793103448275862,0.013793103448275862,0.9862068965517241,0.0,punt
own_territory|medium_4_6|up_one_score|two_min_drill,own_territory,medium_4_6,up_one_score,two_min_drill,,,-0.05205747404874398,29,0.0,0.0,1.0,0.0,punt
own_territory|short_1|down_big|4th_quarter,own_territory,short_1,down_big,4th_quarter,,0.002725850475105959,-0.008156605154394819,117,0.39316239316239315,0.6068376068376068,0.39316239316239315,0.0,go_for_it
own_territory|short_1|down_big|early_game,own_territory,short_1,down_big,early_game,,0.010384479646084155,-0.0050659336052277576,210,0.7904761904761904,0.20952380952380953,0.7904761904761904,0.0,go_for_it
