coach_name,season,n_decisions,go_rate,punt_rate,fg_rate,dqs,odr
Aaron Glenn,2025,137,0.291970802919708,0.5109489051094891,0.19708029197080293,0.007040985581445687,0.6788321167883211
Aaron Kromer,2012,39,0.1282051282051282,0.6410256410256411,0.23076923076923078,0.006753832685088131,0.717948717948718
Adam Gase,2016,118,0.059322033898305086,0.7711864406779662,0.1694915254237288,0.009111959196724723,0.652542372881356
Adam Gase,2017,128,0.1796875,0.6484375,0.171875,0.007150090711015207,0.703125
Adam Gase,2018,120,0.10833333333333334,0.7333333333333333,0.15833333333333333,0.00889660224603538,0.6333333333333333
Adam Gase,2019,129,0.13953488372093023,0.6666666666666666,0.1937984496124031,0.006309705938841493,0.6821705426356589
Adam Gase,2020,125,0.144,0.656,0.2,0.007332426154174644,0.624
Al Groh,2000,128,0.1328125,0.640625,0.2265625,0.010789952902377047,0.640625
Andy Reid,1999,144,0.05555555555555555,0.7361111111111112,0.20833333333333334,0.009746548595810435,0.6527777777777778
Andy Reid,2000,146,0.0958904109589041,0.678082191780822,0.22602739726027396,0.009094252743352047,0.636986301369863
Andy Reid,2001,161,0.09316770186335403,0.6832298136645962,0.2236024844720497,0.009200831017897225,0.6459627329192547
Andy Reid,2002,142,0.1267605633802817,0.6267605633802817,0.24647887323943662,0.007541093200180654,0.676056338028169
Andy Reid,2003,131,0.08396946564885496,0.6793893129770993,0.2366412213740458,0.011814536649587634,0.6259541984732825
Andy Reid,2004,125,0.04,0.672,0.288,0.007786389452062857,0.664
Andy Reid,2005,136,0.08088235294117647,0.7205882352941176,0.19852941176470587,0.008532568012647249,0.625
Andy Reid,2006,123,0.08943089430894309,0.7154471544715447,0.1951219512195122,0.013367106892719091,0.5609756097560976
Andy Reid,2007,117,0.1282051282051282,0.6239316239316239,0.24786324786324787,0.008317214724867758,0.7008547008547008
Andy Reid,2008,138,0.07246376811594203,0.6159420289855072,0.3115942028985507,0.008956097799032729,0.6739130434782609
Andy Reid,2009,129,0.11627906976744186,0.627906976744186,0.2558139534883721,0.004809569308012783,0.751937984496124
Andy Reid,2010,129,0.10852713178294573,0.5968992248062015,0.29457364341085274,0.008709725391261556,0.6356589147286822
Andy Reid,2011,106,0.1320754716981132,0.6320754716981132,0.2358490566037736,0.0077363162272335315,0.7075471698113207
Andy Reid,2012,124,0.18548387096774194,0.5806451612903226,0.23387096774193547,0.008469096699736956,0.6774193548387096
Andy Reid,2013,130,0.08461538461538462,0.6923076923076923,0.2230769230769231,0.01114490923598589,0.676923076923077
Andy Reid,2014,111,0.10810810810810811,0.6396396396396397,0.25225225225225223,0.01081179930567791,0.6306306306306306
Andy Reid,2015,132,0.08333333333333333,0.6212121212121212,0.29545454545454547,0.007256165955316605,0.6212121212121212
Andy Reid,2016,128,0.125,0.625,0.25,0.009550380395821761,0.65625
Andy Reid,2017,122,0.08196721311475409,0.5737704918032787,0.3442622950819672,0.008308989395535952,0.7131147540983607
Andy Reid,2018,100,0.19,0.54,0.27,0.005231265959445253,0.73
Andy Reid,2019,105,0.11428571428571428,0.5428571428571428,0.34285714285714286,0.005556913246452509,0.7238095238095238
Andy Reid,2020,105,0.19047619047619047,0.5333333333333333,0.2761904761904762,0.006528992404715732,0.7238095238095238
Andy Reid,2021,98,0.15306122448979592,0.5102040816326531,0.336734693877551,0.007332821869792637,0.7346938775510204
