coach_name,total_decisions,dqs,odr,go_rate,punt_rate,fg_rate,mean_wp,seasons,dqs_rank,odr_rank
George Seifert,353,0.007957361262158897,0.6997167138810199,0.1359773371104816,0.6317280453257791,0.23229461756373937,0.4443080720874304,1999–2001,51,38
Dennis Green,700,0.00797816371755951,0.6871428571428572,0.12142857142857143,0.6357142857142857,0.24285714285714285,0.44236551105701316,1999–2006,52,50
Steve Spurrier,245,0.007987156662630404,0.6653061224489796,0.1469387755102041,0.6285714285714286,0.22448979591836735,0.44834326280058806,2002–2003,53,82
Nathaniel Hackett,135,0.008003852414937195,0.7481481481481481,0.14074074074074075,0.6370370370370371,0.2222222222222222,0.4279817996084468,2022–2022,54,5
Mike Shanahan,1655,0.008016109417930588,0.683987915407855,0.12930513595166163,0.6114803625377644,0.259214501510574,0.4944114487261118,1999–2013,55,56
Brian Flores,358,0.00803169216814364,0.6843575418994413,0.164804469273743,0.5977653631284916,0.23743016759776536,0.4726943011720847,2019–2021,56,55
Kyle Shanahan,1014,0.008069891208559972,0.6893491124260355,0.14497041420118342,0.5601577909270217,0.2948717948717949,0.5343241089021037,2017–2025,57,48
Mike Munchak,378,0.008134527065902187,0.6640211640211641,0.11904761904761904,0.656084656084656,0.22486772486772486,0.4593651784582939,2011–2013,58,84
Greg Schiano,261,0.008148190386003283,0.6743295019157088,0.1417624521072797,0.6283524904214559,0.22988505747126436,0.44821806414418447,2012–2013,59,68
Robert Saleh,534,0.008152608241757038,0.7247191011235955,0.1891385767790262,0.5898876404494382,0.2209737827715356,0.3679781813652292,2021–2024,60,15
Mike Smith,792,0.008175298850550634,0.6717171717171717,0.13005050505050506,0.6161616161616161,0.2537878787878788,0.5111326821404113,2008–2014,61,74
Matt Eberflus,386,0.00817534674472241,0.7020725388601037,0.22279792746113988,0.5569948186528497,0.22020725388601037,0.39986670204392877,2022–2024,62,36
Urban Meyer,97,0.008199908228682787,0.5979381443298969,0.23711340206185566,0.6082474226804123,0.15463917525773196,0.27315590088908287,2021–2021,63,160
Gregg Williams,407,0.008201486599230636,0.7027027027027027,0.15724815724815724,0.628992628992629,0.21375921375921375,0.4194133001797473,2001–2018,64,34
Gus Bradley,512,0.008216309793335838,0.662109375,0.1484375,0.6640625,0.1875,0.3550670696817286,2013–2016,65,87
Anthony Lynn,434,0.008221145559528607,0.6912442396313364,0.14055299539170507,0.5990783410138248,0.26036866359447003,0.4764651655937066,2016–2020,66,45
Ben McAdoo,244,0.00824808442094783,0.6721311475409836,0.14344262295081966,0.6926229508196722,0.16393442622950818,0.4228976579261293,2016–2017,67,72
Gary Kubiak,1207,0.0082994780632098,0.6785418392709196,0.12013256006628004,0.6255178127589064,0.2543496271748136,0.4943230985653362,2006–2016,68,62
Andy Reid,3371,0.008312817779582165,0.6819934737466627,0.11628596855532483,0.6202907149213883,0.2634233165232869,0.5454062575425561,1999–2025,69,58
Jay Gruden,623,0.008326545614008739,0.6725521669341894,0.13643659711075443,0.6260032102728732,0.2375601926163724,0.44334562736679023,2014–2019,70,70
Sean Payton,2012,0.008336174777485751,0.6784294234592445,0.14512922465208747,0.5999005964214712,0.25497017892644136,0.5091482256474468,2006–2025,71,63
Pete Carroll,2001,0.008336441412453663,0.6746626686656672,0.12243878060969515,0.6371814092953523,0.24037981009495252,0.49145015291583144,1999–2025,72,67
Bobby Petrino,106,0.008350340796101911,0.660377358490566,0.11320754716981132,0.6226415094339622,0.2641509433962264,0.37495007108331924,2007–2007,73,93
Mike Mularkey,628,0.008353480294784284,0.6560509554140127,0.1305732484076433,0.6385350318471338,0.23089171974522293,0.4692974822502063,2004–2017,74,102
Norv Turner,1038,0.008360701869831276,0.6637764932562621,0.10982658959537572,0.6242774566473989,0.2658959537572254,0.5059119843618954,1999–2012,75,85
Bill O'Brien,838,0.008386065367031662,0.6718377088305489,0.13842482100238662,0.6264916467780429,0.2350835322195704,0.464708396473789,2014–2020,76,73
Chuck Pagano,745,0.00842955919691668,0.6711409395973155,0.1087248322147651,0.625503355704698,0.2657718120805369,0.47060653638212563,2012–2017,77,75
